idMM	turmaMM	sexoMM	idadeMM	alturaMM	pesoMM	filhosMM	fumaMM	tolerMM	exerMM	cineMM	opcineMM	tvMM	optvMM
1	1	1	17	1.6	60.5	2	0	2	0	1	1	16	1
2	1	1	18	1.69	55	1	0	3	0	1	1	7	1
3	1	2	18	1.85	72.8	2	0	2	5	2	2	15	1
4	1	2	25	1.85	80.9	2	0	2	5	2	1	20	1
5	1	1	19	1.58	55	1	0	3	2	2	1	5	1
6	1	2	19	1.76	60	3	0	3	2	1	1	2	1
7	1	1	20	1.6	58	1	0	2	3	1	1	7	1
8	1	1	18	1.64	47	1	1	1	2	2	2	10	1
9	1	1	18	1.62	57.8	3	0	3	3	3	2	12	1
10	1	1	17	1.64	58	2	0	3	2	2	2	10	1
11	1	1	18	1.72	70	1	1	1	10	2	1	8	10
12	1	1	18	1.66	54	3	0	3	0	2	1	0	1
13	1	1	21	1.7	58	2	0	3	6	1	2	30	1
14	1	2	19	1.78	68.5	1	1	1	5	1	2	2	10
15	1	1	18	1.65	63.5	1	0	1	4	1	1	10	1
16	1	1	19	1.63	47.4	3	0	2	0	1	1	18	1
17	1	1	17	1.82	66	1	0	2	3	1	1	10	10
18	1	2	18	1.8	85.2	2	0	2	3	4	1	10	1
19	1	1	18	1.6	54.5	1	0	2	3	2	1	5	1
20	1	1	21	1.68	52.5	3	0	3	7	2	1	14	2
21	1	1	18	1.7	60	2	0	2	8	2	1	5	1
22	1	1	18	1.65	58.5	1	0	3	0	3	1	5	1
23	1	1	18	1.57	49.2	1	1	1	5	4	1	10	1
24	1	1	20	1.55	48	1	1	1	0	1	2	28	1
25	1	1	20	1.69	51.6	2	0	2	8	5	2	4	10
26	1	1	19	1.54	57	2	0	1	6	2	1	5	1
27	2	1	23	1.62	63	2	0	3	8	2	2	5	1
28	2	1	18	1.62	52	1	0	2	1	1	2	10	1
29	2	1	18	1.57	49	2	0	2	3	1	1	12	1
30	2	1	25	1.65	59	4	0	3	1	2	2	2	1
31	2	1	18	1.61	52	1	0	2	2	2	2	6	10
32	2	2	17	1.71	73	1	0	2	1	1	1	20	1
33	2	1	17	1.65	56	3	0	3	2	1	1	14	1
34	2	1	17	1.67	58	1	0	3	4	2	1	10	1
35	2	2	18	1.73	87	1	0	3	7	1	1	25	3
36	2	1	18	1.6	47	1	0	2	5	1	2	14	1
37	2	2	17	1.7	95	1	0	2	10	2	2	12	10
38	2	2	21	1.85	84	1	1	1	6	4	1	10	1
39	2	1	18	1.7	60	1	0	2	5	2	1	12	1
40	2	2	18	1.73	73	1	0	3	4	1	1	2	1
41	2	1	17	1.7	55	1	0	1	5	4	1	10	3
42	2	1	23	1.45	44	2	0	3	2	2	1	25	1
43	2	2	24	1.76	75	2	0	1	7	0	2	14	10
44	2	1	18	1.68	55	1	0	2	5	1	1	8	1
45	2	1	18	1.55	49	1	0	3	0	1	2	10	1
46	2	1	19	1.7	50	7	0	3	0	1	1	8	1
47	2	1	19	1.55	54.5	2	0	3	4	3	1	3	1
48	2	1	18	1.6	50	1	0	2	2	1	1	5	1
49	2	2	17	1.8	71	1	0	2	7	0	2	14	1
50	2	2	18	1.83	86	1	0	2	7	0	2	20	3
